hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year
2017-01-01T00,46.4,41.77,5.87,0.84,0.31,1012.4,5.34,312.0,rain,partly-cloudy-night,Partly Cloudy,2017
2017-01-01T01,46.21,42.93,8.64,0.88,,1011.79,4.47,353.0,rain,rain,Light Rain,2017
2017-01-01T02,46.89,44.6,7.39,0.92,0.31,1011.62,2.85,61.0,rain,partly-cloudy-night,Partly Cloudy,2017
2017-01-01T03,48.2,46.46,6.19,0.94,0.31,1012.11,5.4,218.0,rain,partly-cloudy-night,Partly Cloudy,2017
2017-01-01T04,49.47,47.07,8.24,0.91,0.31,1013.2,5.42,221.0,rain,partly-cloudy-night,Partly Cloudy,2017
2017-01-01T05,51.28,46.79,8.84,0.85,0.31,1012.4,4.73,167.0,rain,partly-cloudy-night,Partly Cloudy,2017
2017-01-01T06,56.02,49.07,9.13,0.77,0.31,1011.52,5.01,338.0,,partly-cloudy-night,Partly Cloudy,2017
2017-01-01T07,59.49,49.41,9.62,0.69,0.31,1010.57,1.48,297.0,,partly-cloudy-night,Partly Cloudy,2017
2017-01-01T08,61.33,49.29,9.67,0.65,0.31,1009.43,1.78,99.0,,partly-cloudy-day,Partly Cloudy,2017
2017-01-01T09,63.86,50.92,10.0,0.63,0.31,1008.83,4.75,113.0,,partly-cloudy-day,Partly Cloudy,2017
2017-01-01T10,64.36,52.29,10.0,0.65,0.15,1008.91,4.63,114.0,,clear-day,Clear,2017
2017-01-01T11,64.06,52.47,10.0,0.66,0.13,1008.81,5.84,105.0,,clear-day,Clear,2017
2017-01-01T12,60.58,52.95,10.0,0.76,0.23,1008.67,4.51,117.0,,clear-day,Clear,2017
2017-01-01T13,58.31,52.15,9.88,0.8,0.23,1008.98,3.98,93.0,,clear-day,Clear,2017
2017-01-01T14,57.53,53.09,9.63,0.85,0.25,1008.94,6.21,95.0,,partly-cloudy-day,Partly Cloudy,2017
2017-01-01T15,57.39,54.47,7.61,0.9,0.25,1009.24,5.31,128.0,,partly-cloudy-day,Partly Cloudy,2017
2017-01-01T16,60.49,58.23,8.54,0.92,0.24,1009.32,8.28,136.0,,clear-day,Clear,2017
2017-01-01T17,60.03,58.72,8.53,0.95,0.23,1009.41,8.55,133.0,,clear-day,Clear,2017
2017-01-01T18,61.08,60.03,7.38,0.96,0.78,1009.28,8.42,138.0,,partly-cloudy-night,Mostly Cloudy,2017
2017-01-01T19,62.2,60.59,5.75,0.94,,1008.61,9.16,136.0,,clear-night,Clear,2017
2017-01-01T20,62.44,61.6,3.7,0.97,,1007.56,9.24,131.0,,clear-night,Clear,2017
2017-01-01T21,62.68,62.35,2.16,0.99,1.0,1008.1,6.52,153.0,,cloudy,Overcast,2017
2017-01-01T22,62.57,62.18,2.8,0.99,,1007.68,4.68,207.0,rain,clear-night,Clear,2017
2017-01-01T23,58.85,57.05,2.63,0.94,,1007.4,19.1,272.0,rain,rain,Heavy Rain and Breezy,2017
2017-01-02T00,61.08,60.03,7.38,0.96,0.78,1009.28,8.42,138.0,,partly-cloudy-night,Mostly Cloudy,2017
2017-01-02T01,62.2,60.59,5.75,0.94,,1008.61,9.16,136.0,,clear-night,Clear,2017
2017-01-02T02,62.44,61.6,3.7,0.97,,1007.56,9.24,131.0,,clear-night,Clear,2017
2017-01-02T03,62.68,62.35,2.16,0.99,1.0,1008.1,6.52,153.0,,cloudy,Overcast,2017
2017-01-02T04,62.57,62.18,2.8,0.99,,1007.68,4.68,207.0,rain,clear-night,Clear,2017
