hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year
2015-01-01T00,33.52,23.55,9.73,0.66,1.0,1030.09,6.85,13.0,,cloudy,Overcast,2015
2015-01-01T01,33.76,24.41,9.12,0.68,,1029.72,4.78,15.0,snow,clear-night,Clear,2015
2015-01-01T02,33.09,24.69,9.53,0.71,,1028.82,6.38,15.0,snow,clear-night,Clear,2015
2015-01-01T03,32.39,26.18,9.07,0.78,1.0,1028.26,7.25,13.0,snow,cloudy,Overcast,2015
2015-01-01T04,32.27,26.49,9.03,0.79,,1026.81,6.29,44.0,snow,clear-night,Clear,2015
2015-01-01T05,32.95,26.55,9.35,0.77,,1027.58,6.63,351.0,snow,clear-night,Clear,2015
2015-01-01T06,32.91,27.5,8.37,0.8,1.0,1027.45,7.17,350.0,snow,cloudy,Overcast,2015
2015-01-01T07,31.63,28.41,4.18,0.88,,1027.61,5.91,5.0,snow,snow,Snow,2015
2015-01-01T08,31.57,29.37,2.83,0.91,,1026.63,4.75,20.0,snow,snow,Snow,2015
2015-01-01T09,32.32,30.05,2.65,0.91,1.0,1027.38,2.28,349.0,snow,snow,Possible Light Snow,2015
2015-01-01T10,33.16,31.06,2.53,0.92,,1027.8,2.85,6.0,snow,snow,Snow,2015
2015-01-01T11,33.4,31.16,2.97,0.91,,1027.62,2.99,3.0,snow,snow,Snow,2015
2015-01-01T12,33.63,32.02,2.66,0.94,1.0,1026.24,5.88,61.0,snow,snow,Snow,2015
2015-01-01T13,35.02,32.95,4.24,0.92,,1024.81,1.2,53.0,rain,clear-day,Clear,2015
2015-01-01T14,35.33,33.11,2.01,0.92,,1024.13,5.83,5.0,rain,clear-day,Clear,2015
2015-01-01T15,35.36,33.95,1.77,0.95,1.0,1023.37,5.18,14.0,rain,fog,Foggy,2015
2015-01-01T16,35.48,33.42,1.95,0.92,,1023.41,7.12,2.0,rain,fog,Foggy,2015
2015-01-01T17,35.45,33.45,1.98,0.92,,1023.57,6.64,354.0,rain,fog,Foggy,2015
2015-01-01T18,35.4,33.9,3.08,0.94,1.0,1023.52,7.32,23.0,rain,cloudy,Overcast,2015
2015-01-01T19,35.37,33.39,5.45,0.92,,1023.7,6.51,15.0,rain,clear-night,Clear,2015
2015-01-01T20,36.09,34.04,8.05,0.92,,1023.67,6.2,10.0,rain,clear-night,Clear,2015
2015-01-01T21,36.21,34.29,8.51,0.93,1.0,1023.4,5.18,359.0,rain,cloudy,Overcast,2015
2015-01-01T22,36.25,34.38,4.6,0.93,,1023.93,6.02,357.0,rain,clear-night,Clear,2015
2015-01-01T23,36.31,35.01,6.01,0.95,,1023.6,5.74,9.0,rain,rain,Rain,2015
2015-01-02T00,37.1,35.18,9.05,0.93,1.0,1023.27,5.05,11.0,rain,cloudy,Overcast,2015
2015-01-02T01,37.12,35.22,9.19,0.93,,1022.56,6.39,40.0,,clear-night,Clear,2015
2015-01-02T02,37.14,35.84,9.27,0.95,,1022.99,4.57,3.0,,clear-night,Clear,2015
2015-01-02T03,37.14,35.26,4.7,0.93,1.0,1022.74,7.48,356.0,,cloudy,Overcast,2015
2015-01-02T04,36.66,35.35,6.15,0.95,,1022.23,7.34,6.0,,clear-night,Clear,2015
2015-01-02T05,37.23,35.96,8.57,0.95,,1021.86,7.31,6.0,,clear-night,Clear,2015
