,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
6552,2010-10-01T00,62.77,52.26,9.81,0.69,0.0,1007.95,7.19,310.0,,clear-night,Clear,2010,10
6553,2010-10-01T01,61.55,51.49,9.92,0.7,0.0,1008.14,6.32,307.0,,clear-night,Clear,2010,10
6554,2010-10-01T02,60.63,51.48,10.0,0.72,0.0,1007.98,8.38,308.0,,clear-night,Clear,2010,10
6555,2010-10-01T03,60.04,50.61,9.97,0.71,0.0,1008.05,8.85,317.0,,clear-night,Clear,2010,10
6556,2010-10-01T04,59.77,50.58,9.82,0.72,0.0,1008.05,8.78,312.0,,clear-night,Clear,2010,10
6557,2010-10-01T05,59.48,50.67,9.89,0.73,0.0,1008.37,8.49,312.0,rain,clear-night,Clear,2010,10
6558,2010-10-01T06,57.94,50.62,9.85,0.77,0.0,1008.61,7.79,310.0,,clear-night,Clear,2010,10
6559,2010-10-01T07,57.99,50.45,9.83,0.76,0.0,1009.18,8.26,321.0,,clear-night,Clear,2010,10
6560,2010-10-01T08,58.86,51.34,9.93,0.76,0.0,1009.79,9.92,321.0,,clear-day,Clear,2010,10
6561,2010-10-01T09,62.35,52.4,10.0,0.7,0.0,1010.29,10.82,330.0,,clear-day,Clear,2010,10
6562,2010-10-01T10,67.06,52.75,10.0,0.6,0.0,1010.78,10.72,347.0,,clear-day,Clear,2010,10
6563,2010-10-01T11,71.75,53.27,10.0,0.52,0.0,1011.19,8.91,340.0,,clear-day,Clear,2010,10
6564,2010-10-01T12,73.87,53.7,10.0,0.49,0.0,1011.11,8.46,335.0,,clear-day,Clear,2010,10
6565,2010-10-01T13,75.02,51.88,10.0,0.44,0.21,1011.04,11.22,327.0,,clear-day,Clear,2010,10
6566,2010-10-01T14,76.26,49.98,10.0,0.4,0.21,1010.73,11.44,316.0,,clear-day,Clear,2010,10
6567,2010-10-01T15,77.22,49.72,10.0,0.38,0.22,1010.29,11.73,9.0,,clear-day,Clear,2010,10
6568,2010-10-01T16,78.0,48.51,10.0,0.36,0.22,1010.16,9.77,16.0,,clear-day,Clear,2010,10
6569,2010-10-01T17,78.62,48.8,10.0,0.35,0.21,1010.04,8.26,344.0,,clear-day,Clear,2010,10
6570,2010-10-01T18,76.82,48.47,10.0,0.37,0.0,1010.18,9.56,339.0,,clear-day,Clear,2010,10
6571,2010-10-01T19,73.22,47.29,10.0,0.4,0.0,1010.76,11.18,330.0,,clear-day,Clear,2010,10
6572,2010-10-01T20,70.39,50.67,10.0,0.5,0.22,1012.24,7.49,359.0,,clear-night,Clear,2010,10
6573,2010-10-01T21,67.76,47.57,10.0,0.48,0.0,1011.77,9.54,349.0,,clear-night,Clear,2010,10
6574,2010-10-01T22,65.08,47.77,10.0,0.54,0.0,1012.31,7.8,341.0,,clear-night,Clear,2010,10
6575,2010-10-01T23,63.15,48.0,10.0,0.58,0.0,1012.58,5.58,352.0,,clear-night,Clear,2010,10
6576,2010-10-02T00,61.54,49.1,10.0,0.64,0.0,1012.68,7.36,11.0,,clear-night,Clear,2010,10
6577,2010-10-02T01,60.98,49.13,10.0,0.65,0.0,1012.69,8.27,39.0,,clear-night,Clear,2010,10
6578,2010-10-02T02,59.8,49.61,10.0,0.69,0.0,1012.93,6.56,39.0,,clear-night,Clear,2010,10
6579,2010-10-02T03,58.16,49.53,10.0,0.73,0.0,1012.87,5.81,31.0,,clear-night,Clear,2010,10
6580,2010-10-02T04,57.26,49.12,9.91,0.74,0.0,1012.68,6.75,59.0,,clear-night,Clear,2010,10
6581,2010-10-02T05,57.11,48.61,9.86,0.73,0.0,1013.08,7.54,58.0,,clear-night,Clear,2010,10
6582,2010-10-02T06,56.17,47.69,9.82,0.73,0.0,1013.39,8.13,78.0,,clear-night,Clear,2010,10
6583,2010-10-02T07,53.87,47.35,9.8,0.79,0.0,1014.08,6.63,87.0,,clear-night,Clear,2010,10
6584,2010-10-02T08,54.18,47.34,9.56,0.78,0.01,1014.52,6.6,87.0,,clear-day,Clear,2010,10
6585,2010-10-02T09,59.72,48.12,10.0,0.65,0.21,1015.11,7.52,78.0,,clear-day,Clear,2010,10
6586,2010-10-02T10,63.61,47.26,10.0,0.55,0.49,1015.49,11.05,62.0,,partly-cloudy-day,Partly Cloudy,2010,10
6587,2010-10-02T11,66.98,47.57,10.0,0.5,0.22,1015.53,8.54,75.0,,clear-day,Clear,2010,10
6588,2010-10-02T12,70.24,47.64,10.0,0.45,0.21,1015.25,4.96,127.0,,clear-day,Clear,2010,10
6589,2010-10-02T13,72.33,48.45,10.0,0.43,0.01,1014.64,4.18,133.0,,clear-day,Clear,2010,10
6590,2010-10-02T14,74.86,47.46,10.0,0.38,0.21,1013.73,2.78,175.0,,clear-day,Clear,2010,10
6591,2010-10-02T15,75.89,47.97,10.0,0.37,0.22,1012.83,2.38,92.0,,clear-day,Clear,2010,10
6592,2010-10-02T16,76.83,48.02,10.0,0.36,0.25,1012.31,4.57,333.0,,partly-cloudy-day,Partly Cloudy,2010,10
6593,2010-10-02T17,76.89,48.18,10.0,0.36,0.23,1011.93,5.32,295.0,,clear-day,Clear,2010,10
6594,2010-10-02T18,76.42,48.59,10.0,0.38,0.22,1011.65,6.46,346.0,,clear-day,Clear,2010,10
6595,2010-10-02T19,72.98,49.35,10.0,0.43,0.22,1011.93,6.63,350.0,,clear-day,Clear,2010,10
6596,2010-10-02T20,59.49,39.67,10.0,0.48,0.24,1017.91,12.47,339.0,,clear-night,Clear,2010,10
6597,2010-10-02T21,68.39,51.4,9.97,0.55,0.21,1012.5,6.91,0.0,,clear-night,Clear,2010,10
6598,2010-10-02T22,66.54,51.82,9.93,0.59,0.03,1012.68,6.56,7.0,,clear-night,Clear,2010,10
6599,2010-10-02T23,62.95,52.82,9.8,0.7,0.01,1012.87,5.54,322.0,,clear-night,Clear,2010,10
6600,2010-10-03T00,61.3,51.78,9.74,0.71,0.22,1013.13,8.0,322.0,,clear-night,Clear,2010,10
6601,2010-10-03T01,60.33,49.48,9.78,0.67,0.01,1012.96,7.39,340.0,,clear-night,Clear,2010,10
6602,2010-10-03T02,58.57,48.43,9.74,0.69,0.01,1012.71,7.42,322.0,,clear-night,Clear,2010,10
6603,2010-10-03T03,57.52,47.52,9.73,0.69,0.0,1012.99,8.76,322.0,,clear-night,Clear,2010,10
6604,2010-10-03T04,55.92,46.36,9.85,0.7,0.0,1012.91,11.08,321.0,rain,clear-night,Clear,2010,10
6605,2010-10-03T05,54.91,46.45,10.0,0.73,0.0,1013.29,9.21,331.0,,clear-night,Clear,2010,10
6606,2010-10-03T06,53.83,46.11,10.0,0.75,0.01,1013.61,9.61,321.0,,clear-night,Clear,2010,10
6607,2010-10-03T07,52.86,46.21,10.0,0.78,0.0,1014.31,10.66,319.0,,clear-night,Clear,2010,10
6608,2010-10-03T08,52.23,45.45,10.0,0.78,0.22,1015.04,10.83,319.0,,clear-day,Clear,2010,10
6609,2010-10-03T09,55.19,46.47,10.0,0.72,0.23,1015.64,11.72,321.0,,clear-day,Clear,2010,10
6610,2010-10-03T10,58.78,47.08,10.0,0.65,0.23,1016.06,12.04,330.0,,clear-day,Clear,2010,10
6611,2010-10-03T11,61.39,47.92,10.0,0.61,0.22,1016.42,12.16,315.0,,clear-day,Clear,2010,10
6612,2010-10-03T12,64.98,48.01,10.0,0.54,0.25,1016.49,12.35,313.0,,partly-cloudy-day,Partly Cloudy,2010,10
6613,2010-10-03T13,66.88,47.06,10.0,0.49,0.25,1016.56,14.71,326.0,,partly-cloudy-day,Partly Cloudy,2010,10
6614,2010-10-03T14,67.82,45.4,10.0,0.45,0.27,1016.08,14.53,333.0,,partly-cloudy-day,Partly Cloudy,2010,10
6615,2010-10-03T15,67.96,43.91,10.0,0.42,0.28,1015.69,14.65,310.0,,partly-cloudy-day,Partly Cloudy,2010,10
6616,2010-10-03T16,66.54,41.0,10.0,0.39,0.25,1015.85,15.4,312.0,,partly-cloudy-day,Partly Cloudy,2010,10
6617,2010-10-03T17,66.13,40.4,10.0,0.39,0.24,1015.97,15.26,353.0,,clear-day,Clear,2010,10
6618,2010-10-03T18,64.96,38.95,10.0,0.38,0.23,1016.48,16.82,345.0,,clear-day,Clear,2010,10
6619,2010-10-03T19,61.81,38.84,10.0,0.43,0.25,1017.1,13.45,338.0,,partly-cloudy-day,Partly Cloudy,2010,10
6620,2010-10-03T20,57.52,37.05,10.0,0.46,0.0,1022.17,8.62,348.0,,clear-night,Clear,2010,10
6621,2010-10-03T21,57.29,40.84,10.0,0.54,0.02,1018.7,11.42,340.0,,clear-night,Clear,2010,10
6622,2010-10-03T22,54.89,39.69,10.0,0.56,0.0,1019.38,10.0,339.0,,clear-night,Clear,2010,10
6623,2010-10-03T23,53.79,40.37,10.0,0.6,0.01,1019.6,9.99,339.0,,clear-night,Clear,2010,10
6624,2010-10-04T00,51.98,41.11,10.0,0.66,0.02,1019.49,10.17,338.0,,clear-night,Clear,2010,10
6625,2010-10-04T01,50.03,41.28,10.0,0.72,0.03,1019.3,10.98,329.0,,clear-night,Clear,2010,10
6626,2010-10-04T02,49.07,41.42,10.0,0.75,0.02,1019.4,9.85,337.0,,clear-night,Clear,2010,10
6627,2010-10-04T03,48.04,41.33,10.0,0.77,0.24,1019.3,8.07,329.0,,clear-night,Clear,2010,10
6628,2010-10-04T04,47.12,41.27,10.0,0.8,0.25,1019.1,8.94,330.0,,partly-cloudy-night,Partly Cloudy,2010,10
6629,2010-10-04T05,46.87,41.22,10.0,0.81,0.29,1019.0,8.68,330.0,,partly-cloudy-night,Partly Cloudy,2010,10
6630,2010-10-04T06,45.97,40.32,10.0,0.81,0.28,1019.5,7.77,330.0,,partly-cloudy-night,Partly Cloudy,2010,10
6631,2010-10-04T07,45.66,41.1,9.94,0.84,0.31,1020.03,10.6,330.0,,partly-cloudy-night,Partly Cloudy,2010,10
6632,2010-10-04T08,45.1,41.09,10.0,0.86,0.56,1020.7,7.13,336.0,,partly-cloudy-day,Partly Cloudy,2010,10
6633,2010-10-04T09,47.59,41.67,9.89,0.8,0.57,1021.4,7.1,329.0,,partly-cloudy-day,Partly Cloudy,2010,10
6634,2010-10-04T10,52.38,42.89,9.89,0.7,0.54,1021.99,7.67,326.0,,partly-cloudy-day,Partly Cloudy,2010,10
6635,2010-10-04T11,55.84,42.1,9.89,0.6,0.25,1022.26,5.1,338.0,,partly-cloudy-day,Partly Cloudy,2010,10
6636,2010-10-04T12,60.22,41.92,9.89,0.51,0.22,1022.15,4.73,335.0,,clear-day,Clear,2010,10
6637,2010-10-04T13,62.37,41.86,9.89,0.47,0.25,1021.85,5.08,322.0,,partly-cloudy-day,Partly Cloudy,2010,10
6638,2010-10-04T14,63.54,40.25,9.88,0.42,0.28,1021.32,7.77,346.0,,partly-cloudy-day,Partly Cloudy,2010,10
6639,2010-10-04T15,66.12,40.33,9.89,0.39,0.29,1020.54,10.21,323.0,,partly-cloudy-day,Partly Cloudy,2010,10
6640,2010-10-04T16,66.17,40.48,10.0,0.39,0.26,1020.35,13.51,343.0,,partly-cloudy-day,Partly Cloudy,2010,10
6641,2010-10-04T17,66.43,39.02,10.0,0.37,0.25,1020.67,12.81,0.0,,partly-cloudy-day,Partly Cloudy,2010,10
6642,2010-10-04T18,63.91,37.41,10.0,0.37,0.26,1021.26,15.15,337.0,,partly-cloudy-day,Partly Cloudy,2010,10
6643,2010-10-04T19,60.75,36.7,10.0,0.41,0.22,1021.77,9.62,339.0,,clear-day,Clear,2010,10
6644,2010-10-04T20,60.4,39.93,10.0,0.47,0.0,1023.05,8.66,348.0,,clear-night,Clear,2010,10
6645,2010-10-04T21,55.76,38.19,10.0,0.52,0.0,1022.49,7.47,355.0,,clear-night,Clear,2010,10
6646,2010-10-04T22,53.49,39.32,10.0,0.59,0.0,1022.97,7.33,337.0,,clear-night,Clear,2010,10
6647,2010-10-04T23,51.75,39.14,10.0,0.62,0.0,1023.21,10.22,330.0,,clear-night,Clear,2010,10
6648,2010-10-05T00,50.64,39.15,10.0,0.65,0.0,1023.37,7.78,328.0,,clear-night,Clear,2010,10
6649,2010-10-05T01,49.66,39.46,10.0,0.68,0.0,1022.89,8.65,331.0,,clear-night,Clear,2010,10
6650,2010-10-05T02,47.87,39.53,10.0,0.73,0.0,1022.7,7.91,332.0,,clear-night,Clear,2010,10
6651,2010-10-05T03,46.75,39.98,10.0,0.77,0.0,1022.42,6.89,341.0,,clear-night,Clear,2010,10
6652,2010-10-05T04,45.87,40.03,9.98,0.8,0.0,1022.23,6.71,341.0,,clear-night,Clear,2010,10
6653,2010-10-05T05,45.58,40.0,10.0,0.81,0.0,1022.29,4.88,333.0,,clear-night,Clear,2010,10
6654,2010-10-05T06,44.69,40.21,9.97,0.84,0.0,1022.8,5.86,341.0,,clear-night,Clear,2010,10
6655,2010-10-05T07,44.45,40.0,9.86,0.84,0.0,1023.39,6.34,340.0,,clear-night,Clear,2010,10
6656,2010-10-05T08,43.69,39.93,9.61,0.87,0.0,1023.91,5.63,331.0,,clear-day,Clear,2010,10
6657,2010-10-05T09,47.44,41.5,9.75,0.8,0.0,1024.98,6.08,314.0,,clear-day,Clear,2010,10
6658,2010-10-05T10,53.47,42.1,9.89,0.65,0.0,1025.67,6.76,344.0,,clear-day,Clear,2010,10
6659,2010-10-05T11,59.27,40.36,9.89,0.49,0.0,1025.84,7.12,19.0,,clear-day,Clear,2010,10
6660,2010-10-05T12,63.04,40.48,9.88,0.43,0.0,1025.35,5.95,357.0,,clear-day,Clear,2010,10
6661,2010-10-05T13,66.45,39.73,9.89,0.38,0.0,1024.95,6.88,7.0,,clear-day,Clear,2010,10
6662,2010-10-05T14,67.22,39.26,9.89,0.36,0.21,1024.04,6.86,342.0,,clear-day,Clear,2010,10
6663,2010-10-05T15,68.34,39.87,9.89,0.35,0.23,1023.06,5.47,313.0,,clear-day,Clear,2010,10
6664,2010-10-05T16,68.31,41.8,10.0,0.38,0.22,1022.65,13.29,321.0,,clear-day,Clear,2010,10
6665,2010-10-05T17,68.2,40.67,10.0,0.37,0.23,1022.35,13.21,322.0,,clear-day,Clear,2010,10
6666,2010-10-05T18,66.79,40.79,10.0,0.39,0.24,1022.18,12.62,331.0,,clear-day,Clear,2010,10
6667,2010-10-05T19,63.74,39.92,10.0,0.42,0.01,1022.68,10.17,339.0,,clear-day,Clear,2010,10
6668,2010-10-05T20,62.4,39.56,10.0,0.43,0.0,1018.75,6.77,299.0,,clear-night,Clear,2010,10
6669,2010-10-05T21,57.74,40.33,10.0,0.52,0.0,1023.43,6.18,331.0,,clear-night,Clear,2010,10
6670,2010-10-05T22,56.37,41.32,10.0,0.57,0.0,1023.55,4.66,340.0,,clear-night,Clear,2010,10
6671,2010-10-05T23,55.44,41.49,10.0,0.59,0.0,1023.69,6.73,349.0,,clear-night,Clear,2010,10
6672,2010-10-06T00,51.76,42.57,10.0,0.71,0.0,1023.58,5.97,339.0,,clear-night,Clear,2010,10
6673,2010-10-06T01,49.91,42.17,9.97,0.75,0.0,1023.38,5.56,322.0,,clear-night,Clear,2010,10
6674,2010-10-06T02,48.84,42.22,9.93,0.78,0.0,1023.11,5.71,301.0,,clear-night,Clear,2010,10
6675,2010-10-06T03,46.99,42.51,9.89,0.84,0.0,1023.09,7.09,308.0,,clear-night,Clear,2010,10
6676,2010-10-06T04,47.57,41.77,9.89,0.8,0.0,1022.66,4.82,302.0,,clear-night,Clear,2010,10
6677,2010-10-06T05,45.36,39.79,9.93,0.81,0.0,1022.47,4.75,285.0,,clear-night,Clear,2010,10
6678,2010-10-06T06,45.0,39.58,9.89,0.81,0.0,1022.68,7.36,320.0,,clear-night,Clear,2010,10
6679,2010-10-06T07,44.29,38.81,9.93,0.81,0.0,1022.99,7.33,309.0,,clear-night,Clear,2010,10
6680,2010-10-06T08,45.2,38.68,9.93,0.78,0.0,1023.38,8.23,320.0,,clear-day,Clear,2010,10
6681,2010-10-06T09,50.7,39.12,10.0,0.64,0.0,1023.68,8.37,319.0,,clear-day,Clear,2010,10
