,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
7296,2010-11-01T00,54.33,44.45,9.97,0.69,0.0,1019.37,3.0,260.0,,clear-night,Clear,2010,11
7297,2010-11-01T01,54.73,43.7,9.89,0.66,0.0,1019.36,5.67,280.0,,clear-night,Clear,2010,11
7298,2010-11-01T02,53.56,42.45,9.85,0.66,0.0,1019.6,4.89,280.0,,clear-night,Clear,2010,11
7299,2010-11-01T03,52.6,42.83,9.71,0.69,0.0,1019.61,4.99,300.0,,clear-night,Clear,2010,11
7300,2010-11-01T04,51.16,41.91,9.59,0.71,0.21,1019.61,5.98,300.0,,clear-night,Clear,2010,11
7301,2010-11-01T05,50.23,42.29,9.51,0.74,0.0,1019.98,4.95,330.0,,clear-night,Clear,2010,11
7302,2010-11-01T06,50.79,41.55,9.66,0.7,0.0,1020.51,5.0,30.0,,clear-night,Clear,2010,11
7303,2010-11-01T07,49.12,42.1,9.54,0.77,0.0,1021.29,2.93,330.0,,clear-night,Clear,2010,11
7304,2010-11-01T08,50.25,41.67,9.33,0.72,0.23,1021.45,4.85,345.0,,clear-night,Clear,2010,11
7305,2010-11-01T09,55.49,43.47,9.25,0.64,0.23,1022.17,4.95,48.0,,clear-day,Clear,2010,11
7306,2010-11-01T10,61.36,45.11,9.73,0.55,0.23,1022.98,2.98,34.0,rain,clear-day,Clear,2010,11
7307,2010-11-01T11,63.35,43.82,10.0,0.49,0.52,1023.1,8.11,77.0,,partly-cloudy-day,Partly Cloudy,2010,11
7308,2010-11-01T12,66.95,43.06,10.0,0.42,0.52,1023.1,8.06,73.0,,partly-cloudy-day,Partly Cloudy,2010,11
7309,2010-11-01T13,69.13,41.27,10.0,0.36,0.52,1022.62,7.54,75.0,,partly-cloudy-day,Partly Cloudy,2010,11
7310,2010-11-01T14,70.98,39.82,10.0,0.32,0.22,1021.74,9.23,66.0,,clear-day,Clear,2010,11
7311,2010-11-01T15,71.34,41.42,10.0,0.34,0.22,1021.24,7.41,82.0,,clear-day,Clear,2010,11
