,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
0,2010-01-01T00,44.48,43.2,4.05,0.95,0.94,1019.5,3.57,297.0,,cloudy,Overcast,2010,01
1,2010-01-01T01,43.67,43.03,5.17,0.98,0.76,1019.1,4.98,273.0,,partly-cloudy-night,Mostly Cloudy,2010,01
2,2010-01-01T02,43.66,42.17,5.32,0.94,0.9,1019.39,8.4,301.0,,partly-cloudy-night,Mostly Cloudy,2010,01
3,2010-01-01T03,43.8,41.4,6.54,0.91,0.9,1018.89,9.17,329.0,,partly-cloudy-night,Mostly Cloudy,2010,01
4,2010-01-01T04,43.61,40.47,6.88,0.89,0.71,1018.11,8.67,335.0,,partly-cloudy-night,Mostly Cloudy,2010,01
5,2010-01-01T05,42.79,39.34,7.81,0.88,0.76,1017.87,11.5,329.0,,partly-cloudy-night,Mostly Cloudy,2010,01
6,2010-01-01T06,41.99,36.87,9.73,0.82,0.96,1018.17,8.82,328.0,,cloudy,Overcast,2010,01
7,2010-01-01T07,40.99,36.67,9.93,0.84,0.96,1018.87,12.5,320.0,rain,cloudy,Overcast,2010,01
8,2010-01-01T08,39.37,34.04,9.85,0.81,0.78,1019.45,10.62,326.0,rain,partly-cloudy-day,Mostly Cloudy,2010,01
9,2010-01-01T09,39.19,33.04,10.0,0.78,0.8,1020.31,16.86,338.0,,partly-cloudy-day,Mostly Cloudy,2010,01
10,2010-01-01T10,39.27,31.58,10.0,0.74,0.98,1020.71,15.51,323.0,,cloudy,Overcast,2010,01
11,2010-01-01T11,39.87,30.62,10.0,0.69,0.74,1020.92,17.07,330.0,,partly-cloudy-day,Mostly Cloudy,2010,01
12,2010-01-01T12,43.2,30.55,10.0,0.61,0.26,1020.61,14.83,329.0,,partly-cloudy-day,Partly Cloudy,2010,01
13,2010-01-01T13,45.08,28.48,10.0,0.52,0.24,1019.92,19.61,323.0,,clear-day,Clear,2010,01
14,2010-01-01T14,46.08,27.56,10.0,0.48,0.21,1019.32,15.73,328.0,,clear-day,Clear,2010,01
15,2010-01-01T15,46.16,25.04,10.0,0.43,0.01,1019.16,18.04,334.0,,clear-day,Clear,2010,01
16,2010-01-01T16,45.75,24.73,10.0,0.43,0.0,1019.83,17.3,312.0,,clear-day,Clear,2010,01
17,2010-01-01T17,43.77,22.2,10.0,0.42,0.0,1019.81,17.06,330.0,,clear-day,Clear,2010,01
18,2010-01-01T18,39.86,21.33,10.0,0.47,0.0,1020.63,13.41,328.0,,clear-night,Clear,2010,01
19,2010-01-01T19,27.56,10.37,10.0,0.48,0.0,1025.0,9.45,313.0,,clear-night,Clear,2010,01
20,2010-01-01T20,35.72,20.87,10.0,0.54,0.0,1022.14,14.23,327.0,,clear-night,Clear,2010,01
21,2010-01-01T21,33.95,19.99,10.0,0.56,0.0,1023.0,13.31,309.0,,clear-night,Clear,2010,01
22,2010-01-01T22,31.92,19.88,10.0,0.61,0.0,1022.91,11.76,311.0,,clear-night,Clear,2010,01
23,2010-01-01T23,30.91,19.07,10.0,0.61,0.0,1023.61,11.25,309.0,,clear-night,Clear,2010,01
24,2010-01-02T00,29.96,18.75,10.0,0.63,0.0,1023.13,10.41,308.0,,clear-night,Clear,2010,01
25,2010-01-02T01,28.99,17.09,10.0,0.61,0.0,1022.8,12.68,310.0,,clear-night,Clear,2010,01
26,2010-01-02T02,28.0,16.96,10.0,0.63,0.0,1022.45,11.93,310.0,,clear-night,Clear,2010,01
27,2010-01-02T03,27.19,15.34,10.0,0.6,0.0,1022.9,14.78,317.0,,clear-night,Clear,2010,01
28,2010-01-02T04,26.28,15.18,10.0,0.62,0.01,1022.95,15.67,310.0,,clear-night,Clear,2010,01
29,2010-01-02T05,25.34,14.94,10.0,0.64,0.01,1023.07,12.01,318.0,,clear-night,Clear,2010,01
