,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
3624,2010-06-01T00,71.1,67.79,9.67,0.89,0.69,1016.97,5.74,140.0,,partly-cloudy-night,Mostly Cloudy,2010,06
3625,2010-06-01T01,70.11,67.65,9.54,0.92,0.37,1016.51,5.2,178.0,,partly-cloudy-night,Partly Cloudy,2010,06
3626,2010-06-01T02,69.36,67.83,6.18,0.95,0.42,1016.06,2.69,192.0,,partly-cloudy-night,Partly Cloudy,2010,06
3627,2010-06-01T03,69.14,66.94,6.86,0.93,0.43,1015.7,0.0,,rain,partly-cloudy-night,Partly Cloudy,2010,06
3628,2010-06-01T04,68.46,66.24,7.75,0.93,0.64,1015.49,5.32,258.0,rain,partly-cloudy-night,Mostly Cloudy,2010,06
3629,2010-06-01T05,68.89,66.7,7.29,0.93,0.87,1015.31,2.45,160.0,,partly-cloudy-night,Mostly Cloudy,2010,06
3630,2010-06-01T06,69.3,66.13,8.63,0.9,0.73,1015.21,0.24,230.0,,partly-cloudy-night,Mostly Cloudy,2010,06
3631,2010-06-01T07,69.02,66.88,6.7,0.93,0.79,1015.8,1.31,260.0,,partly-cloudy-day,Mostly Cloudy,2010,06
3632,2010-06-01T08,70.19,67.91,3.66,0.93,0.83,1016.23,2.99,240.0,,partly-cloudy-day,Mostly Cloudy,2010,06
3633,2010-06-01T09,71.88,69.36,3.87,0.92,1.0,1016.42,4.59,269.0,rain,rain,Rain,2010,06
3634,2010-06-01T10,71.88,68.93,4.0,0.9,0.98,1016.67,5.32,282.0,rain,rain,Rain,2010,06
3635,2010-06-01T11,77.28,69.64,6.34,0.77,0.82,1016.58,5.56,335.0,rain,partly-cloudy-day,Mostly Cloudy,2010,06
3636,2010-06-01T12,74.73,69.77,7.04,0.85,0.72,1016.64,5.68,326.0,,partly-cloudy-day,Mostly Cloudy,2010,06
3637,2010-06-01T13,79.52,69.6,8.44,0.72,0.39,1015.73,5.88,17.0,,partly-cloudy-day,Partly Cloudy,2010,06
3638,2010-06-01T14,81.87,68.01,9.21,0.63,0.35,1014.55,2.43,258.0,,partly-cloudy-day,Partly Cloudy,2010,06
3639,2010-06-01T15,83.53,67.21,9.36,0.58,0.39,1013.78,1.96,349.0,,partly-cloudy-day,Partly Cloudy,2010,06
3640,2010-06-01T16,82.55,67.49,9.67,0.61,0.6,1013.02,3.42,150.0,,partly-cloudy-day,Mostly Cloudy,2010,06
3641,2010-06-01T17,83.28,68.4,9.62,0.61,0.64,1012.62,5.21,200.0,,partly-cloudy-day,Mostly Cloudy,2010,06
3642,2010-06-01T18,83.04,67.5,9.7,0.6,0.6,1012.39,4.23,194.0,,partly-cloudy-day,Mostly Cloudy,2010,06
3643,2010-06-01T19,75.86,66.94,4.88,0.74,0.66,1012.9,4.95,110.0,rain,rain,Rain,2010,06
3644,2010-06-01T20,72.19,67.5,7.31,0.85,0.87,1011.78,11.11,201.0,rain,rain,Drizzle,2010,06
3645,2010-06-01T21,73.43,71.36,7.87,0.93,0.68,1013.02,4.25,257.0,rain,rain,Rain,2010,06
3646,2010-06-01T22,73.09,69.79,7.98,0.89,0.8,1013.29,6.21,289.0,,partly-cloudy-night,Mostly Cloudy,2010,06
3647,2010-06-01T23,71.46,68.94,7.8,0.92,0.57,1013.59,5.31,269.0,,partly-cloudy-night,Partly Cloudy,2010,06
3648,2010-06-02T00,71.19,68.76,6.99,0.92,0.54,1013.24,2.83,145.0,,partly-cloudy-night,Partly Cloudy,2010,06
3649,2010-06-02T01,70.87,68.61,7.58,0.93,0.52,1012.86,3.0,220.0,,partly-cloudy-night,Partly Cloudy,2010,06
3650,2010-06-02T02,69.89,67.86,6.59,0.93,0.52,1012.06,3.0,140.0,,partly-cloudy-night,Partly Cloudy,2010,06
3651,2010-06-02T03,69.66,67.03,6.6,0.91,0.26,1011.69,,,,partly-cloudy-night,Partly Cloudy,2010,06
3652,2010-06-02T04,68.73,66.94,6.42,0.94,0.08,1011.35,3.0,220.0,,clear-night,Clear,2010,06
3653,2010-06-02T05,69.48,66.18,6.47,0.89,0.63,1011.77,2.73,245.0,,partly-cloudy-night,Mostly Cloudy,2010,06
3654,2010-06-02T06,69.4,67.49,1.4,0.94,0.66,1012.37,2.97,242.0,rain,fog,Foggy,2010,06
3655,2010-06-02T07,69.44,67.54,2.42,0.94,0.41,1013.03,3.06,278.0,,partly-cloudy-day,Partly Cloudy,2010,06
3656,2010-06-02T08,70.31,67.99,1.7,0.92,0.66,1013.56,5.61,241.0,,fog,Foggy,2010,06
3657,2010-06-02T09,72.02,69.45,3.87,0.92,0.69,1013.94,4.5,247.0,,partly-cloudy-day,Mostly Cloudy,2010,06
3658,2010-06-02T10,73.03,69.79,4.25,0.9,0.87,1013.84,3.34,230.0,,partly-cloudy-day,Mostly Cloudy,2010,06
3659,2010-06-02T11,74.63,69.91,6.41,0.85,0.87,1013.79,6.37,216.0,,partly-cloudy-day,Mostly Cloudy,2010,06
3660,2010-06-02T12,80.7,69.87,9.11,0.7,0.35,1013.33,3.22,257.0,,partly-cloudy-day,Partly Cloudy,2010,06
3661,2010-06-02T13,80.47,69.35,8.95,0.69,0.3,1012.73,4.22,242.0,,partly-cloudy-day,Partly Cloudy,2010,06
3662,2010-06-02T14,82.02,69.12,8.11,0.65,0.61,1012.19,7.44,231.0,,partly-cloudy-day,Mostly Cloudy,2010,06
3663,2010-06-02T15,83.28,69.09,8.18,0.62,0.35,1011.17,7.36,246.0,,partly-cloudy-day,Partly Cloudy,2010,06
3664,2010-06-02T16,83.55,69.08,9.22,0.62,0.33,1010.17,6.7,237.0,,partly-cloudy-day,Partly Cloudy,2010,06
3665,2010-06-02T17,83.7,68.37,8.36,0.6,0.34,1009.68,6.36,260.0,rain,partly-cloudy-day,Partly Cloudy,2010,06
3666,2010-06-02T18,75.03,65.48,6.27,0.72,0.7,1009.84,13.34,317.0,rain,rain,Rain,2010,06
3667,2010-06-02T19,72.95,65.24,7.78,0.77,0.69,1010.26,6.8,145.0,rain,rain,Light Rain,2010,06
3668,2010-06-02T20,82.05,69.02,9.65,0.65,0.58,1009.85,7.32,200.0,rain,partly-cloudy-day,Partly Cloudy,2010,06
3669,2010-06-02T21,71.72,66.68,8.11,0.84,0.9,1011.86,5.3,220.0,rain,partly-cloudy-night,Mostly Cloudy,2010,06
3670,2010-06-02T22,71.27,66.38,8.19,0.85,0.93,1011.89,6.48,317.0,rain,rain,Light Rain,2010,06
3671,2010-06-02T23,71.16,67.1,8.51,0.87,0.8,1011.46,1.54,277.0,rain,rain,Drizzle,2010,06
3672,2010-06-03T00,70.53,67.18,8.78,0.89,0.29,1011.24,2.68,190.0,rain,partly-cloudy-night,Partly Cloudy,2010,06
3673,2010-06-03T01,68.97,67.02,6.63,0.93,0.27,1010.03,2.73,212.0,rain,partly-cloudy-night,Partly Cloudy,2010,06
3674,2010-06-03T02,69.72,66.57,6.52,0.9,0.65,1009.65,0.87,203.0,rain,partly-cloudy-night,Mostly Cloudy,2010,06
3675,2010-06-03T03,69.0,67.2,2.31,0.94,0.71,1009.72,4.06,224.0,rain,partly-cloudy-night,Mostly Cloudy,2010,06
3676,2010-06-03T04,68.87,66.87,6.6,0.93,0.73,1009.88,2.86,221.0,rain,partly-cloudy-night,Mostly Cloudy,2010,06
3677,2010-06-03T05,68.88,66.86,5.83,0.93,0.97,1010.17,6.27,230.0,rain,cloudy,Overcast,2010,06
3678,2010-06-03T06,69.6,67.76,5.56,0.94,0.96,1011.03,6.33,278.0,rain,cloudy,Overcast,2010,06
3679,2010-06-03T07,69.89,67.77,3.11,0.93,0.98,1011.59,6.59,266.0,rain,cloudy,Overcast,2010,06
