,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
1416,2010-03-01T00,35.7,26.96,10.0,0.7,0.0,1016.57,7.83,330.0,,clear-night,Clear,2010,03
1417,2010-03-01T01,33.98,26.93,9.9,0.75,0.0,1016.2,6.9,322.0,,clear-night,Clear,2010,03
1418,2010-03-01T02,33.06,26.81,9.9,0.78,0.0,1016.3,6.77,331.0,,clear-night,Clear,2010,03
1419,2010-03-01T03,31.38,25.96,9.86,0.8,0.21,1016.2,6.43,331.0,,clear-night,Clear,2010,03
1420,2010-03-01T04,31.18,25.96,8.55,0.81,0.52,1016.91,6.98,318.0,,partly-cloudy-night,Partly Cloudy,2010,03
1421,2010-03-01T05,31.24,26.04,8.65,0.81,0.5,1017.39,7.58,341.0,,partly-cloudy-night,Partly Cloudy,2010,03
1422,2010-03-01T06,30.99,25.97,9.94,0.81,0.5,1017.48,5.88,341.0,,partly-cloudy-night,Partly Cloudy,2010,03
1423,2010-03-01T07,29.95,25.98,9.74,0.85,0.21,1017.58,5.64,342.0,,clear-night,Clear,2010,03
1424,2010-03-01T08,33.1,27.06,9.46,0.78,0.51,1017.87,6.9,40.0,,partly-cloudy-day,Partly Cloudy,2010,03
1425,2010-03-01T09,36.25,27.41,9.65,0.7,0.54,1018.27,6.3,88.0,,partly-cloudy-day,Partly Cloudy,2010,03
1426,2010-03-01T10,40.82,27.42,10.0,0.59,0.55,1017.87,8.37,112.0,,partly-cloudy-day,Partly Cloudy,2010,03
1427,2010-03-01T11,43.92,28.21,10.0,0.54,0.54,1017.72,4.2,133.0,,partly-cloudy-day,Partly Cloudy,2010,03
1428,2010-03-01T12,47.49,28.91,10.0,0.48,0.54,1017.42,4.92,122.0,,partly-cloudy-day,Partly Cloudy,2010,03
1429,2010-03-01T13,49.83,28.55,10.0,0.44,0.53,1016.93,0.86,295.0,,partly-cloudy-day,Partly Cloudy,2010,03
1430,2010-03-01T14,52.69,29.32,10.0,0.4,0.53,1015.47,0.58,256.0,,partly-cloudy-day,Partly Cloudy,2010,03
1431,2010-03-01T15,54.9,29.25,10.0,0.37,0.54,1014.27,0.82,337.0,,partly-cloudy-day,Partly Cloudy,2010,03
1432,2010-03-01T16,56.49,29.31,10.0,0.35,0.54,1013.65,2.06,115.0,,partly-cloudy-day,Partly Cloudy,2010,03
1433,2010-03-01T17,56.96,29.44,10.0,0.35,0.53,1013.07,4.83,139.0,,partly-cloudy-day,Partly Cloudy,2010,03
1434,2010-03-01T18,54.92,28.93,10.0,0.37,0.55,1013.28,1.44,289.0,,partly-cloudy-day,Partly Cloudy,2010,03
1435,2010-03-01T19,35.98,34.01,7.76,0.92,0.95,1006.7,8.26,300.0,rain,cloudy,Overcast,2010,03
1436,2010-03-01T20,50.91,31.73,10.0,0.48,0.7,1013.24,2.13,75.0,,partly-cloudy-night,Mostly Cloudy,2010,03
1437,2010-03-01T21,50.43,31.74,10.0,0.48,0.74,1013.2,5.64,51.0,,partly-cloudy-night,Mostly Cloudy,2010,03
1438,2010-03-01T22,49.09,32.07,10.0,0.52,0.85,1012.56,8.01,5.0,,partly-cloudy-night,Mostly Cloudy,2010,03
1439,2010-03-01T23,48.31,32.27,9.76,0.54,0.95,1010.95,8.59,50.0,,cloudy,Overcast,2010,03
1440,2010-03-02T00,48.09,32.41,9.83,0.54,0.98,1011.29,6.19,354.0,rain,cloudy,Overcast,2010,03
1441,2010-03-02T01,45.74,36.09,7.82,0.69,0.99,1010.52,10.63,50.0,rain,cloudy,Overcast,2010,03
1442,2010-03-02T02,44.53,36.83,8.86,0.74,0.99,1010.25,6.16,75.0,rain,rain,Drizzle,2010,03
1443,2010-03-02T03,44.22,37.1,8.45,0.76,1.0,1009.91,9.9,121.0,rain,rain,Light Rain,2010,03
1444,2010-03-02T04,42.61,37.26,8.78,0.81,1.0,1008.76,9.04,121.0,rain,rain,Light Rain,2010,03
1445,2010-03-02T05,39.47,37.03,6.75,0.91,1.0,1007.46,11.84,104.0,rain,rain,Light Rain,2010,03
1446,2010-03-02T06,40.01,36.89,7.04,0.88,1.0,1006.14,14.75,104.0,rain,rain,Light Rain,2010,03
1447,2010-03-02T07,38.98,36.55,6.54,0.91,0.84,1003.89,14.33,84.0,rain,rain,Drizzle,2010,03
1448,2010-03-02T08,38.78,35.88,6.42,0.89,0.84,1004.99,13.17,76.0,rain,rain,Drizzle,2010,03
1449,2010-03-02T09,35.98,33.78,1.81,0.92,1.0,1005.46,13.88,21.0,rain,rain,Rain,2010,03
1450,2010-03-02T10,34.19,32.37,0.74,0.93,1.0,1005.7,13.95,29.0,rain,rain,Light Rain,2010,03
