,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
744,2010-02-01T00,32.62,26.79,9.0,0.79,0.0,1025.62,2.86,341.0,,clear-night,Clear,2010,02
745,2010-02-01T01,30.11,26.57,8.87,0.86,0.0,1026.1,1.97,13.0,,clear-night,Clear,2010,02
746,2010-02-01T02,30.57,26.47,8.84,0.84,0.21,1025.75,3.1,30.0,,clear-night,Clear,2010,02
747,2010-02-01T03,29.79,25.55,8.17,0.84,0.21,1025.36,2.72,46.0,,clear-night,Clear,2010,02
748,2010-02-01T04,31.05,26.17,8.73,0.82,0.22,1025.41,0.0,,,clear-night,Clear,2010,02
749,2010-02-01T05,30.16,26.13,8.97,0.85,0.21,1025.91,4.93,50.0,,clear-night,Clear,2010,02
750,2010-02-01T06,28.83,25.42,7.45,0.87,0.21,1025.99,2.95,97.0,,clear-night,Clear,2010,02
751,2010-02-01T07,28.81,25.61,6.53,0.88,0.23,1026.31,6.35,80.0,,clear-night,Clear,2010,02
752,2010-02-01T08,29.63,26.31,6.67,0.87,0.54,1026.44,8.67,80.0,,partly-cloudy-day,Partly Cloudy,2010,02
753,2010-02-01T09,31.17,28.05,7.21,0.88,0.54,1026.77,7.6,87.0,,partly-cloudy-day,Partly Cloudy,2010,02
754,2010-02-01T10,36.28,29.56,8.98,0.76,0.23,1026.75,7.85,123.0,rain,clear-day,Clear,2010,02
755,2010-02-01T11,41.54,29.23,9.61,0.61,0.26,1026.87,7.66,126.0,,partly-cloudy-day,Partly Cloudy,2010,02
756,2010-02-01T12,45.4,27.69,10.0,0.5,0.68,1026.4,7.21,112.0,,partly-cloudy-day,Mostly Cloudy,2010,02
757,2010-02-01T13,46.79,28.35,10.0,0.48,0.43,1024.72,5.69,111.0,,partly-cloudy-day,Partly Cloudy,2010,02
758,2010-02-01T14,50.02,30.13,10.0,0.46,0.72,1023.43,5.33,87.0,,partly-cloudy-day,Mostly Cloudy,2010,02
759,2010-02-01T15,51.69,32.37,10.0,0.47,0.76,1022.51,5.01,124.0,,partly-cloudy-day,Mostly Cloudy,2010,02
760,2010-02-01T16,52.66,32.53,10.0,0.46,0.41,1022.16,5.76,109.0,,partly-cloudy-day,Partly Cloudy,2010,02
761,2010-02-01T17,51.29,32.9,10.0,0.49,0.77,1022.21,8.15,89.0,,partly-cloudy-day,Mostly Cloudy,2010,02
762,2010-02-01T18,50.02,32.28,10.0,0.5,1.0,1022.76,5.97,90.0,,cloudy,Overcast,2010,02
763,2010-02-01T19,45.3,40.02,9.72,0.82,0.97,1017.55,7.85,318.0,,cloudy,Overcast,2010,02
764,2010-02-01T20,47.91,32.15,10.0,0.54,0.96,1022.11,9.15,89.0,,cloudy,Overcast,2010,02
765,2010-02-01T21,47.09,31.41,10.0,0.54,0.98,1022.2,10.53,89.0,,cloudy,Overcast,2010,02
766,2010-02-01T22,46.31,30.1,10.0,0.53,0.98,1021.27,11.14,88.0,,cloudy,Overcast,2010,02
767,2010-02-01T23,46.27,29.26,9.97,0.51,1.0,1020.83,8.55,78.0,,cloudy,Overcast,2010,02
768,2010-02-02T00,46.24,28.62,9.91,0.5,1.0,1020.22,9.34,79.0,,cloudy,Overcast,2010,02
769,2010-02-02T01,44.37,32.11,9.87,0.62,1.0,1019.83,7.81,89.0,,cloudy,Overcast,2010,02
770,2010-02-02T02,43.03,33.59,6.5,0.69,1.0,1019.23,4.41,73.0,rain,rain,Light Rain,2010,02
771,2010-02-02T03,40.88,36.18,6.17,0.83,1.0,1017.9,10.68,68.0,rain,rain,Light Rain,2010,02
772,2010-02-02T04,39.83,36.88,5.3,0.89,0.99,1017.66,8.61,58.0,rain,rain,Light Rain,2010,02
773,2010-02-02T05,38.94,36.85,4.22,0.92,0.99,1018.32,2.6,341.0,rain,rain,Light Rain,2010,02
774,2010-02-02T06,38.94,36.79,3.17,0.92,1.0,1018.3,6.08,345.0,rain,rain,Light Rain,2010,02
775,2010-02-02T07,38.82,36.79,3.28,0.92,1.0,1018.51,7.29,55.0,rain,rain,Light Rain,2010,02
