,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
5088,2010-08-01T00,79.67,73.45,9.54,0.81,0.69,1011.53,5.96,107.0,,partly-cloudy-night,Mostly Cloudy,2010,08
5089,2010-08-01T01,78.04,71.92,9.57,0.82,0.36,1010.75,5.51,139.0,,partly-cloudy-night,Partly Cloudy,2010,08
5090,2010-08-01T02,77.01,72.57,9.48,0.86,0.27,1010.73,2.92,157.0,,partly-cloudy-night,Partly Cloudy,2010,08
5091,2010-08-01T03,76.12,72.2,9.17,0.88,0.25,1010.14,2.9,161.0,,partly-cloudy-night,Partly Cloudy,2010,08
5092,2010-08-01T04,76.56,73.07,9.27,0.89,0.24,1010.23,1.64,359.0,,clear-night,Clear,2010,08
5093,2010-08-01T05,75.74,72.89,9.04,0.91,0.25,1010.3,4.1,5.0,,partly-cloudy-night,Partly Cloudy,2010,08
5094,2010-08-01T06,77.03,73.77,8.24,0.9,0.61,1010.82,2.61,330.0,,partly-cloudy-night,Mostly Cloudy,2010,08
5095,2010-08-01T07,76.15,73.01,7.51,0.9,0.28,1010.9,4.62,340.0,,partly-cloudy-day,Partly Cloudy,2010,08
5096,2010-08-01T08,78.16,73.3,8.52,0.85,0.24,1011.54,6.55,340.0,,clear-day,Clear,2010,08
5097,2010-08-01T09,81.41,73.6,8.71,0.77,0.25,1012.18,2.75,336.0,,partly-cloudy-day,Partly Cloudy,2010,08
5098,2010-08-01T10,85.04,74.47,9.05,0.71,0.62,1012.19,4.28,60.0,,partly-cloudy-day,Mostly Cloudy,2010,08
5099,2010-08-01T11,87.45,73.82,9.45,0.64,0.59,1011.91,1.35,135.0,,partly-cloudy-day,Partly Cloudy,2010,08
5100,2010-08-01T12,90.35,73.64,9.67,0.58,0.27,1011.8,3.41,298.0,,partly-cloudy-day,Partly Cloudy,2010,08
5101,2010-08-01T13,91.1,73.68,9.87,0.57,0.35,1011.66,0.78,338.0,,partly-cloudy-day,Partly Cloudy,2010,08
5102,2010-08-01T14,92.59,73.24,9.89,0.54,0.34,1011.18,6.35,304.0,,partly-cloudy-day,Partly Cloudy,2010,08
5103,2010-08-01T15,93.24,72.79,9.93,0.52,0.27,1010.69,4.22,236.0,rain,rain,Light Rain,2010,08
5104,2010-08-01T16,93.98,73.25,9.95,0.51,0.58,1010.46,0.19,128.0,,partly-cloudy-day,Partly Cloudy,2010,08
5105,2010-08-01T17,92.99,74.7,10.0,0.56,0.28,1010.26,8.0,187.0,,partly-cloudy-day,Partly Cloudy,2010,08
5106,2010-08-01T18,92.34,73.84,9.88,0.55,0.31,1009.97,7.32,184.0,rain,partly-cloudy-day,Partly Cloudy,2010,08
5107,2010-08-01T19,84.83,75.02,9.7,0.73,0.73,1010.76,4.27,125.0,rain,rain,Drizzle,2010,08
5108,2010-08-01T20,82.2,74.37,5.78,0.77,0.65,1016.97,5.23,115.0,,partly-cloudy-day,Mostly Cloudy,2010,08
5109,2010-08-01T21,80.57,74.23,9.39,0.81,0.73,1012.63,10.33,89.0,rain,partly-cloudy-night,Mostly Cloudy,2010,08
5110,2010-08-01T22,80.03,72.92,9.86,0.79,0.65,1013.42,6.7,75.0,,partly-cloudy-night,Mostly Cloudy,2010,08
5111,2010-08-01T23,79.06,73.58,9.58,0.83,0.73,1013.77,6.58,82.0,,partly-cloudy-night,Mostly Cloudy,2010,08
5112,2010-08-02T00,80.49,74.73,9.71,0.83,0.95,1014.27,4.74,92.0,,cloudy,Overcast,2010,08
5113,2010-08-02T01,78.75,75.5,9.44,0.9,0.94,1014.11,5.65,85.0,rain,rain,Light Rain,2010,08
5114,2010-08-02T02,77.05,74.82,5.75,0.93,0.91,1014.27,5.95,146.0,rain,rain,Light Rain,2010,08
5115,2010-08-02T03,75.75,73.44,9.26,0.93,0.76,1014.59,1.28,80.0,rain,rain,Light Rain,2010,08
5116,2010-08-02T04,76.8,73.99,7.27,0.91,0.4,1014.31,6.74,70.0,rain,rain,Drizzle,2010,08
5117,2010-08-02T05,76.1,73.88,6.53,0.93,0.98,1014.85,8.27,80.0,,cloudy,Overcast,2010,08
5118,2010-08-02T06,75.96,72.89,6.26,0.9,1.0,1015.22,10.9,88.0,,cloudy,Overcast,2010,08
5119,2010-08-02T07,75.17,72.86,5.69,0.93,1.0,1015.98,8.72,97.0,,cloudy,Overcast,2010,08
5120,2010-08-02T08,73.76,72.14,3.16,0.95,1.0,1016.49,9.68,90.0,,cloudy,Overcast,2010,08
5121,2010-08-02T09,73.79,72.22,3.34,0.95,1.0,1017.1,9.79,88.0,,cloudy,Overcast,2010,08
5122,2010-08-02T10,73.7,72.16,3.77,0.95,1.0,1017.75,9.58,81.0,,cloudy,Overcast,2010,08
5123,2010-08-02T11,75.65,72.08,4.84,0.89,1.0,1018.15,7.99,97.0,,cloudy,Overcast,2010,08
5124,2010-08-02T12,78.96,73.06,7.94,0.82,0.82,1018.17,6.77,98.0,,partly-cloudy-day,Mostly Cloudy,2010,08
5125,2010-08-02T13,80.42,73.05,7.95,0.78,0.96,1017.96,6.57,112.0,,cloudy,Overcast,2010,08
5126,2010-08-02T14,82.24,74.01,6.89,0.76,0.79,1017.59,6.11,120.0,,partly-cloudy-day,Mostly Cloudy,2010,08
5127,2010-08-02T15,83.22,73.96,7.33,0.74,0.94,1017.22,6.29,130.0,,cloudy,Overcast,2010,08
5128,2010-08-02T16,82.85,74.14,6.7,0.75,0.92,1016.85,7.23,123.0,,partly-cloudy-day,Mostly Cloudy,2010,08
5129,2010-08-02T17,83.49,74.21,5.32,0.74,0.92,1016.53,5.88,113.0,,partly-cloudy-day,Mostly Cloudy,2010,08
5130,2010-08-02T18,84.03,75.11,6.59,0.75,0.41,1016.44,8.25,94.0,,partly-cloudy-day,Partly Cloudy,2010,08
5131,2010-08-02T19,83.31,74.17,6.69,0.74,0.71,1016.74,7.5,111.0,,partly-cloudy-day,Mostly Cloudy,2010,08
5132,2010-08-02T20,84.99,73.93,9.46,0.7,0.55,1015.97,8.62,159.0,,partly-cloudy-day,Partly Cloudy,2010,08
5133,2010-08-02T21,80.96,74.93,5.86,0.82,0.31,1017.46,5.98,73.0,,partly-cloudy-night,Partly Cloudy,2010,08
5134,2010-08-02T22,80.0,75.01,5.97,0.85,0.33,1017.98,6.81,90.0,,partly-cloudy-night,Partly Cloudy,2010,08
5135,2010-08-02T23,79.01,75.15,6.54,0.88,0.24,1018.07,6.13,98.0,,clear-night,Clear,2010,08
5136,2010-08-03T00,78.86,75.11,6.6,0.88,0.4,1018.16,7.78,80.0,,partly-cloudy-night,Partly Cloudy,2010,08
5137,2010-08-03T01,78.09,75.03,6.62,0.9,0.42,1018.21,7.48,78.0,,partly-cloudy-night,Partly Cloudy,2010,08
5138,2010-08-03T02,78.78,74.97,5.95,0.88,0.72,1018.37,5.15,98.0,,partly-cloudy-night,Mostly Cloudy,2010,08
5139,2010-08-03T03,78.02,74.92,5.96,0.9,0.71,1018.05,6.76,89.0,,partly-cloudy-night,Mostly Cloudy,2010,08
5140,2010-08-03T04,77.97,74.96,5.98,0.91,0.87,1017.58,2.63,104.0,,partly-cloudy-night,Mostly Cloudy,2010,08
5141,2010-08-03T05,77.87,74.96,5.93,0.91,0.73,1017.57,4.45,117.0,,partly-cloudy-night,Mostly Cloudy,2010,08
5142,2010-08-03T06,77.54,74.89,5.67,0.92,0.66,1017.69,2.91,99.0,,partly-cloudy-night,Mostly Cloudy,2010,08
5143,2010-08-03T07,76.78,74.79,3.36,0.94,0.69,1017.69,4.6,89.0,rain,rain,Light Rain,2010,08
5144,2010-08-03T08,77.0,74.85,2.86,0.93,0.44,1018.5,5.4,80.0,rain,partly-cloudy-day,Partly Cloudy,2010,08
5145,2010-08-03T09,78.7,74.97,3.43,0.88,0.71,1019.3,4.75,118.0,rain,partly-cloudy-day,Mostly Cloudy,2010,08
5146,2010-08-03T10,79.51,75.22,3.87,0.87,0.7,1019.37,2.42,135.0,,partly-cloudy-day,Mostly Cloudy,2010,08
5147,2010-08-03T11,82.43,75.75,4.3,0.8,0.65,1019.36,6.58,177.0,,partly-cloudy-day,Mostly Cloudy,2010,08
5148,2010-08-03T12,84.84,75.56,6.5,0.74,0.65,1019.17,5.28,138.0,,partly-cloudy-day,Mostly Cloudy,2010,08
5149,2010-08-03T13,88.18,76.78,6.73,0.69,0.32,1018.73,0.75,75.0,,partly-cloudy-day,Partly Cloudy,2010,08
5150,2010-08-03T14,89.32,76.72,7.37,0.67,0.63,1017.91,1.44,112.0,,partly-cloudy-day,Mostly Cloudy,2010,08
5151,2010-08-03T15,87.71,76.19,8.02,0.69,0.67,1017.04,5.21,131.0,rain,rain,Light Rain,2010,08
5152,2010-08-03T16,88.75,73.62,6.71,0.61,0.62,1016.8,5.13,99.0,rain,rain,Light Rain,2010,08
5153,2010-08-03T17,90.15,76.35,6.85,0.64,0.3,1016.41,2.55,215.0,rain,rain,Drizzle,2010,08
