,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
2880,2010-05-01T00,69.38,63.46,10.0,0.82,0.93,1013.72,8.84,178.0,,partly-cloudy-night,Mostly Cloudy,2010,05
2881,2010-05-01T01,69.9,63.57,9.95,0.8,0.99,1013.84,9.16,160.0,,cloudy,Overcast,2010,05
2882,2010-05-01T02,69.0,63.75,9.94,0.83,0.99,1013.35,7.53,168.0,,cloudy,Overcast,2010,05
2883,2010-05-01T03,68.29,64.47,10.0,0.88,0.99,1012.84,8.25,175.0,,cloudy,Overcast,2010,05
2884,2010-05-01T04,68.31,63.76,9.95,0.85,1.0,1012.98,8.21,186.0,,cloudy,Overcast,2010,05
2885,2010-05-01T05,68.07,63.81,9.95,0.86,1.0,1013.17,7.99,169.0,,cloudy,Overcast,2010,05
2886,2010-05-01T06,67.32,64.55,9.69,0.91,1.0,1013.48,8.01,169.0,,cloudy,Overcast,2010,05
2887,2010-05-01T07,66.63,64.0,8.72,0.91,1.0,1013.49,7.34,158.0,,cloudy,Overcast,2010,05
2888,2010-05-01T08,68.01,64.76,9.08,0.89,1.0,1013.95,8.45,166.0,,cloudy,Overcast,2010,05
2889,2010-05-01T09,68.32,64.93,8.87,0.89,1.0,1014.05,8.42,174.0,,cloudy,Overcast,2010,05
2890,2010-05-01T10,69.36,65.93,6.57,0.89,1.0,1013.72,8.75,177.0,,cloudy,Overcast,2010,05
2891,2010-05-01T11,71.26,66.85,7.46,0.86,1.0,1013.76,9.85,188.0,,cloudy,Overcast,2010,05
2892,2010-05-01T12,73.24,67.82,7.63,0.83,1.0,1014.14,8.33,181.0,,cloudy,Overcast,2010,05
2893,2010-05-01T13,74.44,68.07,7.54,0.81,1.0,1013.74,6.88,171.0,,cloudy,Overcast,2010,05
2894,2010-05-01T14,76.52,69.66,7.99,0.79,1.0,1013.12,8.36,176.0,,cloudy,Overcast,2010,05
2895,2010-05-01T15,76.91,69.04,9.29,0.77,1.0,1012.42,9.66,185.0,,cloudy,Overcast,2010,05
2896,2010-05-01T16,76.47,69.23,9.24,0.78,0.99,1011.9,13.2,188.0,,cloudy,Overcast,2010,05
2897,2010-05-01T17,78.9,69.25,9.84,0.72,0.77,1011.27,10.1,196.0,,partly-cloudy-day,Mostly Cloudy,2010,05
2898,2010-05-01T18,80.09,68.62,9.92,0.68,0.68,1010.77,10.15,189.0,,partly-cloudy-day,Mostly Cloudy,2010,05
2899,2010-05-01T19,80.11,67.45,9.95,0.65,0.72,1010.8,13.65,194.0,,partly-cloudy-day,Mostly Cloudy,2010,05
2900,2010-05-01T20,82.89,66.69,9.96,0.58,0.32,1010.47,12.71,181.0,,partly-cloudy-day,Partly Cloudy,2010,05
2901,2010-05-01T21,75.99,67.07,9.93,0.74,0.27,1011.58,6.93,166.0,,partly-cloudy-night,Partly Cloudy,2010,05
2902,2010-05-01T22,74.87,66.94,9.93,0.76,0.07,1012.15,8.55,166.0,,clear-night,Clear,2010,05
2903,2010-05-01T23,74.22,66.29,9.92,0.76,0.41,1012.71,8.18,169.0,,partly-cloudy-night,Partly Cloudy,2010,05
2904,2010-05-02T00,73.32,67.04,9.93,0.81,0.37,1012.6,8.35,159.0,,partly-cloudy-night,Partly Cloudy,2010,05
2905,2010-05-02T01,72.36,66.94,9.83,0.83,0.31,1012.52,7.65,167.0,,partly-cloudy-night,Partly Cloudy,2010,05
2906,2010-05-02T02,72.25,67.6,9.7,0.85,0.87,1012.35,6.49,168.0,,partly-cloudy-night,Mostly Cloudy,2010,05
2907,2010-05-02T03,71.36,67.67,9.56,0.88,0.95,1012.04,7.52,170.0,,cloudy,Overcast,2010,05
2908,2010-05-02T04,71.98,67.8,9.48,0.87,0.97,1011.86,10.94,186.0,,cloudy,Overcast,2010,05
2909,2010-05-02T05,72.13,67.75,9.49,0.86,0.98,1011.63,10.01,171.0,,cloudy,Overcast,2010,05
2910,2010-05-02T06,72.15,67.74,9.37,0.86,0.94,1011.65,10.0,195.0,,cloudy,Overcast,2010,05
2911,2010-05-02T07,71.43,67.72,8.0,0.88,0.72,1011.86,7.35,194.0,,partly-cloudy-day,Mostly Cloudy,2010,05
2912,2010-05-02T08,72.29,67.82,8.63,0.86,0.78,1012.53,8.93,184.0,,partly-cloudy-day,Mostly Cloudy,2010,05
2913,2010-05-02T09,74.61,68.91,9.25,0.82,0.83,1012.46,12.04,189.0,,partly-cloudy-day,Mostly Cloudy,2010,05
2914,2010-05-02T10,77.6,69.92,9.39,0.77,0.81,1012.44,15.8,197.0,,partly-cloudy-day,Mostly Cloudy,2010,05
2915,2010-05-02T11,80.66,69.43,9.46,0.69,0.74,1012.29,15.56,196.0,,partly-cloudy-day,Mostly Cloudy,2010,05
2916,2010-05-02T12,82.27,68.04,9.79,0.62,0.36,1012.18,15.52,198.0,,partly-cloudy-day,Partly Cloudy,2010,05
2917,2010-05-02T13,84.35,67.17,9.9,0.57,0.68,1012.46,20.52,192.0,,wind,Breezy and Mostly Cloudy,2010,05
2918,2010-05-02T14,85.41,66.97,9.96,0.54,0.68,1011.79,20.99,197.0,,wind,Breezy and Mostly Cloudy,2010,05
2919,2010-05-02T15,86.89,66.94,9.96,0.52,0.65,1011.49,19.39,198.0,,partly-cloudy-day,Mostly Cloudy,2010,05
2920,2010-05-02T16,87.64,65.87,9.96,0.49,0.66,1010.78,19.19,192.0,,partly-cloudy-day,Mostly Cloudy,2010,05
2921,2010-05-02T17,86.54,65.15,10.0,0.49,0.63,1010.26,20.17,190.0,,wind,Breezy and Mostly Cloudy,2010,05
